customer_id,arrival_date,departure_date,lifetime,plan_type,num_profiles,age_group,region,weekly_view_hrs,categories_used,days_since_last_login,acquisition_cost,service_cost,promo_subscriber,monthly_rate,monthly_spend
1,2023-07-11,2023-12-09,151,standalone,2,18-24,US,1.1,2,9.632,36.0,2.15,false,11.99,11.78
2,2023-10-09,2024-04-06,180,standalone,2,18-24,US,1.2,1,0.515,45.67,3.52,false,11.99,12.55
3,2025-07-23,2025-09-15,54,standalone,2,18-24,APAC,1.4,0,14.617,35.95,2.79,true,11.99,10.05
4,2020-06-15,2020-10-30,137,standalone,3,45-54,EMEA,2.9,0,9.981,53.8,3.51,false,11.99,11.68
5,2022-09-04,2024-03-04,547,bundle,5,35-44,US,17.4,3,1.491,59.67,5.94,false,18.99,21.16
6,2021-03-19,2021-09-05,170,bundle,3,25-34,APAC,9.0,1,1.19,59.81,7.32,false,18.99,21.1
7,2021-07-30,2021-09-18,50,standalone,2,45-54,EMEA,2.2,0,3.217,43.84,4.43,true,11.99,10.74
8,2025-08-03,2025-12-26,145,standalone,1,45-54,LATAM,2.3,1,6.139,42.36,3.45,false,11.99,10.71
9,2020-12-27,2021-10-25,302,standalone,3,18-24,US,3.2,2,0.92,57.47,4.05,false,11.99,11.33
10,2026-02-04,2026-08-08,185,standalone,0,45-54,LATAM,1.9,2,11.871,30.54,2.52,false,11.99,12.15
11,2023-01-09,2023-05-18,129,standalone,6,45-54,EMEA,5.8,3,10.138,39.11,3.61,false,11.99,11.67
12,2024-07-19,2025-10-12,450,bundle,3,25-34,US,4.2,2,0.477,57.55,4.24,false,18.99,20.3
13,2024-05-26,2024-08-09,75,standalone,3,55+,US,0.8,0,20.155,47.96,2.25,false,11.99,12.4
14,2026-07-18,,,standalone,3,35-44,APAC,2.1,0,4.465,55.91,3.64,true,11.99,11.22
15,2021-01-14,2021-07-17,184,standalone,2,18-24,EMEA,2.4,1,5.499,39.42,3.18,false,11.99,12.89
16,2020-02-18,2020-05-01,73,standalone,4,25-34,LATAM,10.3,0,1.204,63.44,7.5,true,11.99,10.12
17,2026-07-02,,,standalone,4,25-34,US,6.1,1,3.477,33.5,5.76,true,11.99,9.16
18,2024-07-10,2024-09-30,82,standalone,3,25-34,EMEA,7.8,0,10.48,44.75,4.83,true,11.99,12.95
19,2021-10-08,2022-12-14,432,standalone,2,45-54,EMEA,4.3,1,0.359,31.25,4.57,false,11.99,11.51
20,2023-12-18,2024-10-18,305,bundle,3,45-54,APAC,17.6,2,12.255,57.65,5.57,false,18.99,20.95
21,2023-02-28,2024-02-01,338,bundle,4,35-44,US,8.6,0,2.75,43.5,6.17,false,18.99,19.3
22,2020-01-21,2020-11-13,297,standalone,4,45-54,EMEA,4.0,1,2.285,42.0,3.71,false,11.99,9.38
23,2024-04-16,,,bundle,0,35-44,US,38.9,5,0.758,58.78,5.78,true,18.99,21.28
